Date,Year,Avg_Price,Total_Volume,Small_4046,Medium_4225,Large_4770,Other_PLU,Total_Bags,Small_Bags,Medium_Bags,Large_Bags,Type,Region
2015-12-27,2015,1.33,64237,1037,54455,48,8697,8697,8604,93,0,conventional,Albany
2015-12-20,2015,1.35,54877,674,44639,58,9506,9505,9408,97,0,conventional,Albany
2015-12-13,2015,0.93,118220,795,109150,130,8145,8145,8042,103,0,conventional,Albany
2015-12-06,2015,1.08,78992,1132,71976,73,5811,5811,5677,134,0,conventional,Albany
2015-11-29,2015,1.28,51040,941,43838,76,6185,6184,5986,198,0,conventional,Albany
2015-11-22,2015,1.26,55980,1184,48068,44,6684,6683,6556,127,0,conventional,Albany
2015-11-15,2015,0.99,83454,1369,73673,93,8319,8319,8197,122,0,conventional,Albany
2015-11-08,2015,0.98,109428,704,101815,80,6829,6829,6267,562,0,conventional,Albany
2015-11-01,2015,1.02,99811,1022,87316,85,11388,11389,11105,284,0,conventional,Albany
2015-10-25,2015,1.07,74339,842,64757,113,8627,8625,8061,564,0,conventional,Albany
2015-10-18,2015,1.12,84843,925,75596,117,8205,8206,7878,328,0,conventional,Albany
2015-10-11,2015,1.28,64489,1582,52678,105,10124,10124,9866,258,0,conventional,Albany
2015-10-04,2015,1.31,61007,2268,49881,101,8757,8757,8380,377,0,conventional,Albany
2015-09-27,2015,0.99,106803,1205,99409,155,6034,6035,5889,146,0,conventional,Albany
2015-09-20,2015,1.33,69759,1028,59313,150,9268,9267,8489,778,0,conventional,Albany
2015-09-13,2015,1.28,76111,986,65697,142,9286,9286,8665,621,0,conventional,Albany
2015-09-06,2015,1.11,99173,879,90063,241,7990,7990,7763,227,0,conventional,Albany
2015-08-30,2015,1.07,105694,689,94363,335,10307,10307,10219,88,0,conventional,Albany
2015-08-23,2015,1.34,79992,733,67934,445,10880,10881,10746,135,0,conventional,Albany
2015-08-16,2015,1.33,80044,540,68666,395,10443,10444,10298,146,0,conventional,Albany
2015-08-09,2015,1.12,111141,585,100961,369,9226,9226,9116,110,0,conventional,Albany
2015-08-02,2015,1.45,75133,510,62035,741,11847,11847,11769,78,0,conventional,Albany
2015-07-26,2015,1.11,106757,649,91949,967,13192,13193,13062,131,0,conventional,Albany
2015-07-19,2015,1.26,96617,1042,82049,2238,11288,11287,11103,184,0,conventional,Albany
2015-07-12,2015,1.05,124055,672,94694,4258,24431,24431,24290,108,33,conventional,Albany
2015-07-05,2015,1.35,109252,869,72601,5883,29899,29899,29663,236,0,conventional,Albany
2015-06-28,2015,1.37,89535,664,57546,4663,26662,26662,26312,350,0,conventional,Albany
2015-06-21,2015,1.27,104849,804,76689,5481,21875,21876,21662,214,0,conventional,Albany
2015-06-14,2015,1.32,89631,851,55401,4377,29002,29002,28343,659,0,conventional,Albany
2015-06-07,2015,1.07,122743,657,99221,90,22775,22775,22315,460,0,conventional,Albany
2015-05-31,2015,1.23,95124,922,70470,51,23681,23681,23222,459,0,conventional,Albany
2015-05-24,2015,1.19,101471,680,71377,59,29355,29355,28762,593,0,conventional,Albany
2015-05-17,2015,1.43,109857,1151,81955,94,26657,26657,26285,372,0,conventional,Albany
2015-05-10,2015,1.26,120428,1420,102001,186,16821,16822,16536,286,0,conventional,Albany
2015-05-03,2015,1.2,59198,920,45490,217,12571,12571,12202,369,0,conventional,Albany
2015-04-26,2015,1.22,49585,876,35842,90,12777,12779,12077,702,0,conventional,Albany
2015-04-19,2015,1.19,49065,774,33942,47,14302,14302,13603,699,0,conventional,Albany
2015-04-12,2015,1.13,48364,864,30374,22,17104,17104,16438,666,0,conventional,Albany
2015-04-05,2015,1.16,47362,962,35578,94,10728,10729,9869,756,104,conventional,Albany
2015-03-29,2015,1.02,67799,1402,58623,90,7684,7684,7208,476,0,conventional,Albany
2015-03-22,2015,1.12,46347,2142,34314,142,9749,9750,9253,497,0,conventional,Albany
2015-03-15,2015,1.11,43046,2128,30447,100,10371,10371,9990,381,0,conventional,Albany
2015-03-08,2015,1.07,40507,796,30371,159,9181,9182,8828,354,0,conventional,Albany
2015-03-01,2015,0.99,55596,629,45633,181,9153,9151,8986,165,0,conventional,Albany
2015-02-22,2015,1.07,45675,1088,35056,151,9380,9379,9000,379,0,conventional,Albany
2015-02-15,2015,1.06,41568,987,30046,222,10313,10313,9980,333,0,conventional,Albany
2015-02-08,2015,0.99,51254,1357,39112,163,10622,10621,10113,508,0,conventional,Albany
2015-02-01,2015,0.99,70874,1354,60017,179,9324,9323,9171,152,0,conventional,Albany
2015-01-25,2015,1.06,45148,941,33196,164,10847,10845,10103,742,0,conventional,Albany
2015-01-18,2015,1.17,44511,914,31540,136,11921,11921,11651,270,0,conventional,Albany
2015-01-11,2015,1.24,41195,1003,31640,127,8425,8425,8036,389,0,conventional,Albany
2015-01-04,2015,1.22,40873,2820,28287,50,9716,9717,9187,530,0,conventional,Albany
2015-12-27,2015,0.99,386100,292097,27351,298,66354,66354,48606,17748,0,conventional,Atlanta
2015-12-20,2015,1.08,331378,251774,20702,103,58799,58798,46930,11868,0,conventional,Atlanta
2015-12-13,2015,0.96,417772,324932,31019,276,61545,61546,38904,22628,14,conventional,Atlanta
2015-12-06,2015,1.07,357637,283024,23741,182,50690,50691,37033,13655,3,conventional,Atlanta
2015-11-29,2015,0.99,333281,250289,28890,308,53794,53795,33032,20739,24,conventional,Atlanta
2015-11-22,2015,1.0,356415,269799,29732,501,56383,56382,36992,19390,0,conventional,Atlanta
2015-11-15,2015,1.13,339861,263916,28442,456,47047,47046,33656,13390,0,conventional,Atlanta
2015-11-08,2015,1.12,334042,250441,34483,488,48630,48629,35663,12941,25,conventional,Atlanta
2015-11-01,2015,0.99,419089,290458,62980,253,65398,65398,39461,25929,8,conventional,Atlanta
2015-10-25,2015,1.09,358478,236814,64608,304,56752,56752,31827,24925,0,conventional,Atlanta
2015-10-18,2015,1.09,349072,228710,59732,291,60339,60339,36884,23455,0,conventional,Atlanta
2015-10-11,2015,0.95,433874,255933,91047,600,86294,86294,41160,45134,0,conventional,Atlanta
2015-10-04,2015,0.96,418682,265797,92780,644,59461,59461,14876,44585,0,conventional,Atlanta
2015-09-27,2015,1.07,370321,262107,61871,681,45662,45663,20534,25126,3,conventional,Atlanta
2015-09-20,2015,0.93,516433,346119,82763,1349,86202,86201,33698,52442,61,conventional,Atlanta
2015-09-13,2015,1.07,417232,278048,62486,715,75983,75983,46290,29679,14,conventional,Atlanta
2015-09-06,2015,0.97,472137,303113,73676,911,94437,94437,49834,44550,53,conventional,Atlanta
2015-08-30,2015,1.15,382973,275818,44839,1034,61282,61281,47138,14112,31,conventional,Atlanta
2015-08-23,2015,1.12,379054,274462,46224,950,57418,57418,45534,11884,0,conventional,Atlanta
2015-08-16,2015,1.09,465214,362580,41992,1425,59217,59217,45068,14149,0,conventional,Atlanta
2015-08-09,2015,1.01,503792,385028,47040,4252,67472,67471,45820,21568,83,conventional,Atlanta
2015-08-02,2015,1.15,405898,306588,41907,3515,53888,53888,42126,11720,42,conventional,Atlanta
2015-07-26,2015,1.08,437378,335372,44087,708,57211,57210,45114,12096,0,conventional,Atlanta
2015-07-19,2015,0.97,557213,446100,47838,1982,61293,61292,45100,16192,0,conventional,Atlanta
2015-07-12,2015,1.14,407205,310080,37953,867,58305,58304,46024,12280,0,conventional,Atlanta
2015-07-05,2015,1.01,562462,436378,54675,849,70560,70561,50685,19851,25,conventional,Atlanta
2015-06-28,2015,1.13,435211,331353,37699,817,65342,65342,52100,13108,134,conventional,Atlanta
2015-06-21,2015,0.99,554764,449311,30232,678,74543,74543,55485,19011,47,conventional,Atlanta
2015-06-14,2015,1.1,465805,386370,17701,472,61262,61261,48612,12578,71,conventional,Atlanta
2015-06-07,2015,0.99,551009,455566,22414,739,72290,72290,50955,21330,5,conventional,Atlanta
2015-05-31,2015,1.1,454702,382901,19543,523,51735,51735,40505,11200,30,conventional,Atlanta
2015-05-24,2015,0.96,623212,538127,27284,1261,56540,56540,33867,22651,22,conventional,Atlanta
2015-05-17,2015,1.11,451251,386401,18619,839,45392,45392,33710,11682,0,conventional,Atlanta
2015-05-10,2015,1.1,480071,413453,18861,1089,46668,46668,34108,12560,0,conventional,Atlanta
2015-05-03,2015,1.0,634213,538403,28568,1060,66182,66182,32521,33661,0,conventional,Atlanta
2015-04-26,2015,1.12,448597,387677,18366,1042,41512,41512,31315,10197,0,conventional,Atlanta
2015-04-19,2015,1.12,430966,368710,18041,873,43342,43343,29662,13681,0,conventional,Atlanta
2015-04-12,2015,0.99,451102,377578,22420,219,50885,50884,25833,25051,0,conventional,Atlanta
2015-04-05,2015,1.04,383139,318473,19254,375,45037,45037,28612,16290,135,conventional,Atlanta
2015-03-29,2015,1.11,365722,305029,16652,261,43780,43780,29314,14466,0,conventional,Atlanta
2015-03-22,2015,1.0,479591,393591,23420,305,62275,62275,40495,21767,13,conventional,Atlanta
2015-03-15,2015,1.12,399566,336172,16508,311,46575,46576,34912,11626,38,conventional,Atlanta
2015-03-08,2015,1.1,420826,361559,15789,237,43241,43241,33847,9394,0,conventional,Atlanta
2015-03-01,2015,0.99,512532,441544,21184,348,49456,49457,32181,17273,3,conventional,Atlanta
2015-02-22,2015,1.1,431309,369316,18325,237,43431,43430,33424,10006,0,conventional,Atlanta
2015-02-15,2015,1.06,427391,364447,17420,638,44886,44886,26728,18158,0,conventional,Atlanta
2015-02-08,2015,1.03,433884,377256,17162,525,38941,38940,18044,20896,0,conventional,Atlanta
2015-02-01,2015,0.96,636771,553199,31583,295,51694,51695,10554,41141,0,conventional,Atlanta
2015-01-25,2015,1.1,449333,393408,18718,594,36613,36612,13176,23436,0,conventional,Atlanta
2015-01-18,2015,1.11,431491,372237,18702,512,40040,40041,16783,23258,0,conventional,Atlanta
2015-01-11,2015,1.11,397543,330411,18958,1135,47039,47038,21310,25728,0,conventional,Atlanta
2015-01-04,2015,1.0,435021,364302,23821,82,46816,46816,16707,30109,0,conventional,Atlanta
2015-12-27,2015,1.17,596819,40450,394104,17354,144911,144911,142544,2367,0,conventional,BaltimoreWashington
2015-12-20,2015,1.11,642682,44741,434591,19112,144238,144238,141752,2486,0,conventional,BaltimoreWashington
2015-12-13,2015,1.15,619509,44400,399852,24291,150966,150966,149070,1896,0,conventional,BaltimoreWashington
2015-12-06,2015,1.04,649141,51129,453586,25760,118666,118665,117113,1552,0,conventional,BaltimoreWashington
2015-11-29,2015,1.16,545800,41028,379156,20148,105468,105468,103616,1852,0,conventional,BaltimoreWashington
2015-11-22,2015,1.12,572020,40868,386138,23343,121671,121671,119008,2663,0,conventional,BaltimoreWashington
2015-11-15,2015,1.04,718330,47110,503470,37990,129760,129761,125298,4463,0,conventional,BaltimoreWashington
2015-11-08,2015,1.05,830967,58579,576513,51035,144840,144841,138778,6063,0,conventional,BaltimoreWashington
2015-11-01,2015,1.12,742221,51860,473819,58616,157926,157925,152716,5209,0,conventional,BaltimoreWashington
2015-10-25,2015,1.19,656892,53766,397911,49086,156129,156129,149988,6141,0,conventional,BaltimoreWashington
2015-10-18,2015,0.99,1005604,59122,745385,49171,151926,151926,146421,5505,0,conventional,BaltimoreWashington
2015-10-11,2015,1.24,653560,34707,392009,58490,168354,168354,163669,4685,0,conventional,BaltimoreWashington
2015-10-04,2015,1.28,657444,35342,407610,42258,172234,172234,167495,4739,0,conventional,BaltimoreWashington
2015-09-27,2015,1.19,696282,34309,451061,59019,151893,151893,146793,5100,0,conventional,BaltimoreWashington
2015-09-20,2015,1.17,709269,39620,450283,45336,174030,174030,168890,5140,0,conventional,BaltimoreWashington
2015-09-13,2015,1.09,924994,55699,675524,42270,151501,151500,145686,5814,0,conventional,BaltimoreWashington
2015-09-06,2015,1.18,823623,63904,522568,68180,168971,168972,165697,3269,6,conventional,BaltimoreWashington
2015-08-30,2015,1.24,734721,48455,458207,42754,185305,185305,181969,3159,177,conventional,BaltimoreWashington
2015-08-23,2015,1.16,783935,59242,499100,47216,178377,178376,175047,3060,269,conventional,BaltimoreWashington
2015-08-16,2015,1.14,882755,86492,597185,43103,155975,155976,153157,2797,22,conventional,BaltimoreWashington
2015-08-09,2015,1.16,821523,56363,557364,42934,164862,164863,161565,3298,0,conventional,BaltimoreWashington
2015-08-02,2015,1.17,800603,53958,535167,44750,166728,166729,163668,3061,0,conventional,BaltimoreWashington
2015-07-26,2015,1.2,772926,52746,496509,45011,178660,178660,174775,3880,5,conventional,BaltimoreWashington
2015-07-19,2015,1.18,800194,52955,496206,50320,200713,200713,196838,3862,13,conventional,BaltimoreWashington
2015-07-12,2015,1.1,850932,58828,547537,50679,193888,193887,189236,4406,245,conventional,BaltimoreWashington
2015-07-05,2015,1.16,896299,66505,567641,56045,206108,206109,200098,5891,120,conventional,BaltimoreWashington
2015-06-28,2015,1.15,862262,65052,534535,51110,211565,211565,207378,4023,164,conventional,BaltimoreWashington
2015-06-21,2015,1.16,862841,58399,527866,51953,224623,224622,220904,3488,230,conventional,BaltimoreWashington
2015-06-14,2015,1.09,955047,64005,593500,48345,249197,249197,244982,3668,547,conventional,BaltimoreWashington
2015-06-07,2015,1.26,794310,62585,462951,43721,225053,225053,221166,3626,261,conventional,BaltimoreWashington
2015-05-31,2015,1.19,949177,67745,617814,45833,217785,217785,211787,5730,268,conventional,BaltimoreWashington
2015-05-24,2015,1.18,908662,63610,560740,49809,234503,234503,228843,5549,111,conventional,BaltimoreWashington
2015-05-17,2015,1.27,790854,63515,455167,44841,227331,227331,222163,5152,16,conventional,BaltimoreWashington
2015-05-10,2015,1.26,855206,79192,507104,44391,224519,224519,215572,8947,0,conventional,BaltimoreWashington
2015-05-03,2015,1.17,896972,73038,536710,77537,209687,209685,201874,7767,44,conventional,BaltimoreWashington
2015-04-26,2015,1.29,747841,58014,431533,39943,218351,218352,212065,6184,103,conventional,BaltimoreWashington
2015-04-19,2015,1.28,762863,67487,427623,42125,225628,225627,219886,5741,0,conventional,BaltimoreWashington
2015-04-12,2015,1.15,837630,70797,523170,42271,201392,201392,196076,5316,0,conventional,BaltimoreWashington
2015-04-05,2015,1.29,688065,53579,401279,41867,191340,191340,184109,6357,874,conventional,BaltimoreWashington
2015-03-29,2015,1.25,663677,58098,398051,43760,163768,163769,158964,4805,0,conventional,BaltimoreWashington
2015-03-22,2015,1.1,808897,65159,524971,42381,176386,176386,171700,4686,0,conventional,BaltimoreWashington
